,Rk,Year,Player,Pos,AV,School,College,HE ,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
112,29,2014,Tyler Starr,LB,0,South Dakota,,4-Jun,6'4,250,4.95,32,24,116,6.64,4.15,Atlanta Falcons / 7th / 255th pick / 2014
113,30,2014,Telvin Smith,LB,48,Florida State,College Stats,3-Jun,6'3,218,4.52,31.5,,119,,,Jacksonville Jaguars / 5th / 144th pick / 2014
114,31,2014,Chris Smith,LB,7,Arkansas,College Stats,1-Jun,6'1,266,4.66,37,28,121,7.55,4.46,Jacksonville Jaguars / 5th / 159th pick / 2014
115,32,2014,Prince Shembo,LB,2,Notre Dame,College Stats,1-Jun,6'1,253,4.71,38.5,26,122,7.29,4.31,Atlanta Falcons / 4th / 139th pick / 2014
116,33,2014,Ryan Shazier,LB,28,Ohio State,College Stats,1-Jun,6'1,237,4.58,42,25,130,6.91,4.21,Pittsburgh Steelers / 1st / 15th pick / 2014
117,34,2014,Trevor Reilly,LB,3,Utah,College Stats,5-Jun,6'5,245,4.67,,26,,,,New York Jets / 7th / 233rd pick / 2014
118,35,2014,Ronald Powell,LB,1,Florida,College Stats,3-Jun,6'3,237,4.65,35.5,21,114,,,New Orleans Saints / 5th / 169th pick / 2014
119,36,2014,Kevin Pierre-Louis,LB,5,Boston College,College Stats,Jun-00,6'1,232,4.51,39,28,128,6.92,4.02,Seattle Seahawks / 4th / 132nd pick / 2014
120,37,2014,Jonathan Newsome,LB,4,Ball State,College Stats,3-Jun,6'3,247,4.73,34,21,117,7.31,4.63,Indianapolis Colts / 5th / 166th pick / 2014
121,38,2014,Khalil Mack,LB,65,Buffalo,College Stats,3-Jun,6'3,251,4.65,40,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
122,39,2014,Boseko Lokombo,LB,,Oregon,College Stats,2-Jun,6'2,225,4.66,,,122,7.15,4.3,
123,40,2014,Christian Kirksey,LB,26,Iowa,College Stats,2-Jun,6'2,233,4.72,32,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
124,41,2014,Devon Kennard,LB,25,Southern California,College Stats,3-Jun,6'3,249,4.7,30,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
125,42,2014,Howard Jones,LB,4,Shepherd,,2-Jun,6'2,235,4.6,40.5,21,124,7.16,4.41,
126,43,2014,Christian Jones,LB,25,Florida State,College Stats,3-Jun,6'3,240,4.68,33.5,,115,,,
127,44,2014,Adrian Hubbard,LB,,Alabama,College Stats,6-Jun,6'6,257,4.69,38.5,,117,,,
128,45,2014,Anthony Hitchens,LB,30,Iowa,College Stats,Jun-00,6'1,240,4.74,31.5,23,116,7.15,4.45,Dallas Cowboys / 4th / 119th pick / 2014
129,46,2014,Khairi Fortt,LB,0,California,College Stats,2-Jun,6'2,248,4.7,36,30,120,,,New Orleans Saints / 4th / 126th pick / 2014
130,47,2014,Kasim Edebali,LB,5,Boston College,College Stats,2-Jun,6'2,253,4.79,34.5,19,115,7.2,4.35,
131,48,2014,Jonathan Brown,LB,,Illinois,College Stats,Jun-00,6'1,238,5.03,31,16,108,7.77,4.56,
132,49,2014,Carl Bradford,LB,0,Arizona State,College Stats,1-Jun,6'1,250,4.76,37.5,23,122,7.25,4.3,Green Bay Packers / 4th / 121st pick / 2014
133,50,2014,Anthony Barr,LB,46,UCLA,College Stats,5-Jun,6'5,255,4.66,34.5,15,119,6.82,4.19,Minnesota Vikings / 1st / 9th pick / 2014
134,Rk,Year,Player,Pos,AV,School,College,Height,#VALUE!,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
135,51,2014,Jeremiah Attaochu,LB,9,Georgia Tech,College Stats,3-Jun,6'3,252,,,,,,,San Diego Chargers / 2nd / 50th pick / 2014
